identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
DS.50,"DS-04 Parcours (histoire, jalons, formation, signature)",Guillemet décoratif ds-closing-signature::after,.ds-closing-signature::after,.v2-ds-closing-signature::after,CONFORME,règle CSS identique lue directement dans le code
DS.51,DS-05 Invitation,ds-invite-inner — layout,.ds-invite-inner,.v2-ds-invite-inner,CONFORME,"re-mesuré directement : identique à la maquette (flex space-between, gap 40px, 1180×169)"
DS.52,DS-05 Invitation,Eyebrow « Invitation »,.ds-invite .eyebrow.light,.v2-ds-invite .v2-eyebrow.light,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (21px, était 16px ; margin-bottom 12px déjà correct)"
DS.53,DS-05 Invitation,Texte « Vous souhaitez entendre... »,.ds-invite-copy,.v2-ds-invite-copy,CONFORME,re-mesuré directement : identique à la maquette
DS.54,DS-05 Invitation,H2 « Invitez Serge »,.ds-invite h2,.v2-ds-invite h2,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (99px, était 71px)"
DS.55,DS-05 Invitation,Bouton « J'invite Serge → »,.ds-invite .button-light,.v2-ds-invite .v2-button-light,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (55px, était 52px)"
DS.56,DS-06 Repères (stats),Grille ds-stats-grid,.ds-stats-grid,.v2-ds-stats-grid,CONFORME,"re-mesuré directement : identique à la maquette (4×295px, 1180×120)"
DS.57,DS-06 Repères (stats),Bloc « 1992 / Révélation de Christ »,.ds-stats-grid > div:nth-child(1),.v2-ds-stats-grid > div:nth-child(1),CONFORME,"re-mesuré directement : identique à la maquette (234×40 / 234×15, non affecté par le manque de line-height — déjà identique des deux côtés)"
DS.58,DS-06 Repères (stats),Bloc « 7 / Livres publiés »,.ds-stats-grid > div:nth-child(2),.v2-ds-stats-grid > div:nth-child(2),CONFORME,re-mesuré directement : identique à la maquette
DS.59,DS-06 Repères (stats),Bloc « 2017 / Mis à part... »,.ds-stats-grid > div:nth-child(3),.v2-ds-stats-grid > div:nth-child(3),CONFORME,re-mesuré directement : identique à la maquette
DS.60,DS-06 Repères (stats),Bloc « 2 / amDG · ActesDesFilsDeDieu »,.ds-stats-grid > div:nth-child(4),.v2-ds-stats-grid > div:nth-child(4),CONFORME,re-mesuré directement : identique à la maquette
DS.61,DS-07 Association (ActesDesFilsDeDieu),Grille ds-association-grid,.ds-association-grid,.v2-ds-association-grid,CONFORME,"re-mesuré directement : identique à la maquette (432/648px, gap 100px, 1180×244)"
DS.62,DS-07 Association (ActesDesFilsDeDieu),Eyebrow « ActesDesFilsDeDieu »,.ds-association .eyebrow,.v2-ds-association .v2-eyebrow,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (21px, était 16px)"
DS.63,DS-07 Association (ActesDesFilsDeDieu),H2 « L'association qu'il porte. »,.ds-association h2,.v2-ds-association h2,CONFORME,"corrigé : couleur rgb(23,20,45) restaurée localement sur ce sélecteur (ancien --ink hérité du body, la règle globale h1..h4{color:var(--ink)} l'emportait sur l'héritage de .v2-ds-page)"
DS.64,DS-07 Association (ActesDesFilsDeDieu),Paragraphe (avec strong),.ds-association-copy p,.v2-ds-association-copy p,CONFORME,re-mesuré directement : identique à la maquette (599×83)
DS.65,DS-07 Association (ActesDesFilsDeDieu),Bouton outline « Découvrir ActesDesFilsDeDieu ↗ »,.ds-outline-button,.v2-button-outline (classe renommée),CONFORME,"classe renommée (ds-outline-button → v2-button-outline) sans impact visuel : couleur, bordure 1px, padding, border-radius identiques ;  line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (52→55px n/a, déjà correct)"
DS.66,DS-07 Association (ActesDesFilsDeDieu),Filigrane décoratif « ADFDD »,.ds-association::after,.v2-ds-association::after,CONFORME,règle CSS identique lue directement dans le code
DS.67,DS-08 Dernier livre,ds-book — conteneur (grid),.ds-book,.v2-ds-book,CONFORME,"re-mesuré directement : identique à la maquette (390px/687.6px, gap 102.4px, 1180×825)"
DS.68,DS-08 Dernier livre,Couverture du livre (image + ombre),.ds-book-cover img,.v2-ds-book-cover img,CONFORME,"re-mesuré directement : identique à la maquette (390×585, aspect-ratio 2/3, box-shadow identique) — image réelle dépendante des données (dernier livre publié), contenu variable par nature"
DS.69,DS-08 Dernier livre,Eyebrow « Le dernier livre de Serge Hapita »,.ds-book .eyebrow,.v2-ds-book-copy .v2-eyebrow,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (21px, était 16px)"
DS.70,DS-08 Dernier livre,H2 (titre du livre),.ds-book h2,.v2-ds-book-copy h2,CONFORME,"corrigé : couleur rgb(23,20,45) restaurée localement sur ce sélecteur (ancien --ink hérité du body, la règle globale h1..h4{color:var(--ink)} l'emportait sur l'héritage de .v2-ds-page) — texte réel dépendant des données (dernier livre), contenu variable"
DS.71,DS-08 Dernier livre,Paragraphe (prix + éditeur),.ds-book-copy > p:not(.eyebrow),.v2-ds-book-copy > p:not(.v2-eyebrow),CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (26px, était 20px)"
DS.72,DS-08 Dernier livre,Bouton « Découvrir le dernier livre → »,.ds-book .button-primary,.v2-ds-book-copy .v2-button-primary,CONFORME,"corrigé : line-height 1.6 restauré via .v2-ds-page (manquant sur tout le wrapper de page) — hauteur identique à la maquette désormais (55px, était 52px)"
DS.73,DS-00 Page entière,"Densité du corps de texte (rendu réel du texte, au-delà des valeurs CSS calculées)","body (auto, comportement natif du navigateur)",.v2-ds-page,CONFORME,"corrigé (retour de validation humaine, 12/09) : cause réelle identifiée en comparant le rendu réel des polices (document.fonts, pas seulement getComputedStyle) — body{-webkit-font-smoothing:antialiased} est une règle globale héritée de l'ancienne charte (absente de la maquette, qui reste sur le ""auto"" natif du navigateur), héritée dans toute la page migrée bien que font-family/font-weight/line-height/variation Inter calculés soient rigoureusement identiques des deux côtés (Inter var, weight 400, chargé et ""loaded"" côté maquette comme côté V2). -webkit-font-smoothing:auto restauré localement sur .v2-ds-page — jamais sur la règle globale body, encore utilisée par les pages non migrées. Écart invisible à un audit qui ne compare que les valeurs CSS calculées : cette propriété n'apparaît dans aucune liste standard de propriétés à contrôler."
DS.74,Header partagé,Logo (dimensions réelles),.brand img,.v2-brand img,CONFORME,"corrigé (retour de validation humaine, contrôle « fenêtre contre fenêtre », 12/09) : le fichier site/public/logo.png différait de l'actif de la maquette (900×339, ratio 2.655) au lieu de 2048×682 (ratio 3.003) — avec height:auto (identique des deux côtés), ce mauvais ratio produisait une hauteur rendue de 70.98px au lieu de 62.6px pour une largeur de 188px identique, d'où un logo perçu ~13% plus grand. Cause démontrée par getBoundingClientRect + naturalWidth/Height des deux côtés, pas par jugement visuel. Fichier remplacé par l'actif exact de la maquette (prototype-html/assets/logo.png) ; aucune règle CSS modifiée (déjà fidèle à la maquette). Re-mesuré sur les 4 pages migrées : 188×62.6px partout."
DS.75,Header partagé,Menus déroulants « À propos »/« Publications » — fermeture après navigation,.nav-dropdown (comportement natif <details>),.v2-nav-dropdown (DesktopNav.tsx),CONFORME,"corrigé (nouveau défaut constaté en conditions réelles, 13/09) : le menu déroulant restait ouvert après un clic sur un de ses liens (ex. « De Serge »/« La mission » dans « À propos ») une fois la souris repartie — invisible sur l'accueil, jamais atteint depuis un lien À L'INTÉRIEUR d'un menu déroulant. Cause démontrée (pas seulement les règles CSS) : la navigation Next.js (<Link>) ne recharge pas la page, le lien cliqué garde le focus du navigateur après le changement de route, et .v2-nav-dropdown-menu s'ouvre aussi sur :focus-within (nécessaire au clavier), qui restait donc vrai en permanence — confirmé via document.activeElement et :focus-within réellement interrogés en direct, pas supposés. Corrigé dans DesktopNav.tsx : le focus est rendu au document dès que la route change. Ouverture/fermeture réelles au survol re-testées (pas seulement lues en CSS) sur les deux menus « À propos » et « Publications », sur /, /de-serge, /mission, /connaitre-jesus : identiques partout, aucune régression sur le comportement déjà correct de l'accueil."
