identifiant,section,element,selecteur_maquette,correspondant_v2,statut,proprietes_non_conformes
01.14,01 - En-tête / Network bar / Navigation,Item dropdown « À propos » : La mission,a[href*='La mission'],"lien équivalent confirmé présent (nav_items, vérification BDD antérieure)",CONFORME,"re-mesuré directement en forçant l'ouverture du panneau via focus() réel (plus fiable que le survol synthétique) : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/padding 10px 13px/border-radius 5px/188×41 identiques à la maquette — la limitation de mesure automatique (dimensions nulles panneau fermé) est résolue par ce contrôle direct en état ouvert"
01.15,01 - En-tête / Network bar / Navigation,Item dropdown « À propos » : Livres,a[href*='Livres'],"lien équivalent confirmé présent (nav_items, vérification BDD antérieure)",CONFORME,"re-mesuré directement en forçant l'ouverture du panneau via focus() réel (plus fiable que le survol synthétique) : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/padding 10px 13px/border-radius 5px/188×41 identiques à la maquette — la limitation de mesure automatique (dimensions nulles panneau fermé) est résolue par ce contrôle direct en état ouvert"
01.16,01 - En-tête / Network bar / Navigation,Item dropdown « À propos » : Vidéos,a[href*='Vidéos'],"lien équivalent confirmé présent (nav_items, vérification BDD antérieure)",CONFORME,"re-mesuré directement en forçant l'ouverture du panneau via focus() réel (plus fiable que le survol synthétique) : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/padding 10px 13px/border-radius 5px/188×41 identiques à la maquette — la limitation de mesure automatique (dimensions nulles panneau fermé) est résolue par ce contrôle direct en état ouvert"
01.17,01 - En-tête / Network bar / Navigation,Item dropdown « À propos » : Podcast,a[href*='Podcast'],"lien équivalent confirmé présent (nav_items, vérification BDD antérieure)",CONFORME,"re-mesuré directement en forçant l'ouverture du panneau via focus() réel (plus fiable que le survol synthétique) : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/padding 10px 13px/border-radius 5px/188×41 identiques à la maquette — la limitation de mesure automatique (dimensions nulles panneau fermé) est résolue par ce contrôle direct en état ouvert"
01.18,01 - En-tête / Network bar / Navigation,Item dropdown « À propos » : Invitation,a[href*='Invitation'],"lien équivalent confirmé présent (nav_items, vérification BDD antérieure)",CONFORME,"re-mesuré directement en forçant l'ouverture du panneau via focus() réel (plus fiable que le survol synthétique) : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/padding 10px 13px/border-radius 5px/188×41 identiques à la maquette — la limitation de mesure automatique (dimensions nulles panneau fermé) est résolue par ce contrôle direct en état ouvert"
01.19,01 - En-tête / Network bar / Navigation,Item dropdown « À propos » : Partenariat,a[href*='Partenariat'],"lien équivalent confirmé présent (nav_items, vérification BDD antérieure)",CONFORME,"re-mesuré directement en forçant l'ouverture du panneau via focus() réel (plus fiable que le survol synthétique) : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/padding 10px 13px/border-radius 5px/188×41 identiques à la maquette — la limitation de mesure automatique (dimensions nulles panneau fermé) est résolue par ce contrôle direct en état ouvert"
01.20,01 - En-tête / Network bar / Navigation,Lien « Connaître Jésus »,nav.desktop-menu a[href='connaitre-jesus/'],lien nav,CONFORME,corrigé : line-height restauré via cascade — hauteur 39px identique
01.21,01 - En-tête / Network bar / Navigation,Déclencheur dropdown « Publications » + flèche ⌄,details.nav-dropdown summary (2e),a.v2-nav-dropdown-trigger (2e),CONFORME,mécanisme hover/focus-within identique — vérifié au niveau des règles CSS sources
01.22,01 - En-tête / Network bar / Navigation,Panneau dropdown « Publications »,.nav-dropdown-menu (2e),.v2-nav-dropdown-menu (2e),CONFORME,règle CSS d'ouverture identique
01.23,01 - En-tête / Network bar / Navigation,Item dropdown « Publications » : Que dit la Bible ?,a[href*='Que dit la Bible ?'],"lien équivalent, présence confirmée (hrefs identiques vérifiés en direct)",CONFORME,"contrôle comportemental réel effectué sur le menu « Publications » (ouverture/fermeture identique à « À propos », vérifié) ; mesure directe sur « Que Dit la Bible ? » en état ouvert : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/188×41 identiques à la maquette. Observation signalée (non corrigée, hors périmètre CSS) : le libellé réel en base est « Que Dit la Bible ? » (D majuscule), la maquette affiche « Que dit la Bible ? » (d minuscule) — écart de contenu éditorial, pas un défaut visuel/CSS, à trancher par Serge"
01.24,01 - En-tête / Network bar / Navigation,Item dropdown « Publications » : La Vie Supérieure,a[href*='La Vie Supérieure'],"lien équivalent, présence confirmée (hrefs identiques vérifiés en direct)",CONFORME,"contrôle comportemental réel effectué sur le menu « Publications » (ouverture/fermeture identique à « À propos », vérifié) ; mesure directe sur « Que Dit la Bible ? » en état ouvert : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/188×41 identiques à la maquette. Observation signalée (non corrigée, hors périmètre CSS) : le libellé réel en base est « Que Dit la Bible ? » (D majuscule), la maquette affiche « Que dit la Bible ? » (d minuscule) — écart de contenu éditorial, pas un défaut visuel/CSS, à trancher par Serge"
01.25,01 - En-tête / Network bar / Navigation,Item dropdown « Publications » : Rosée Matinale,a[href*='Rosée Matinale'],"lien équivalent, présence confirmée (hrefs identiques vérifiés en direct)",CONFORME,"contrôle comportemental réel effectué sur le menu « Publications » (ouverture/fermeture identique à « À propos », vérifié) ; mesure directe sur « Que Dit la Bible ? » en état ouvert : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/188×41 identiques à la maquette. Observation signalée (non corrigée, hors périmètre CSS) : le libellé réel en base est « Que Dit la Bible ? » (D majuscule), la maquette affiche « Que dit la Bible ? » (d minuscule) — écart de contenu éditorial, pas un défaut visuel/CSS, à trancher par Serge"
01.26,01 - En-tête / Network bar / Navigation,Item dropdown « Publications » : Je Confesse,a[href*='Je Confesse'],"lien équivalent, présence confirmée (hrefs identiques vérifiés en direct)",CONFORME,"contrôle comportemental réel effectué sur le menu « Publications » (ouverture/fermeture identique à « À propos », vérifié) ; mesure directe sur « Que Dit la Bible ? » en état ouvert : Inter/13px/650/lineHeight 20.8px/couleur rgb(23,20,45)/188×41 identiques à la maquette. Observation signalée (non corrigée, hors périmètre CSS) : le libellé réel en base est « Que Dit la Bible ? » (D majuscule), la maquette affiche « Que dit la Bible ? » (d minuscule) — écart de contenu éditorial, pas un défaut visuel/CSS, à trancher par Serge"
01.27,01 - En-tête / Network bar / Navigation,Lien « Boutique »,nav.desktop-menu a[href='/boutique/'],lien nav,CONFORME,corrigé : line-height restauré — hauteur 39px identique
01.28,01 - En-tête / Network bar / Navigation,Lien « Soutenir »,nav.desktop-menu a[href='/partenariat/'],lien nav,CONFORME,corrigé : line-height restauré — hauteur 39px identique
01.29,01 - En-tête / Network bar / Navigation,Lien « Contact »,nav.desktop-menu a[href='/contact/'],lien nav,CONFORME,corrigé : line-height restauré — hauteur 39px identique
01.30,01 - En-tête / Network bar / Navigation,Bloc d'actions (nav-actions) — conteneur/layout,.nav-actions,.v2-nav-actions,CONFORME,"display flex, gap 8px, dimensions identiques (157×47)"
01.31,01 - En-tête / Network bar / Navigation,Bouton icône Rechercher,button[aria-label='Rechercher'],bouton recherche équivalent,CONTRÔLE MANUEL REQUIS,icône SVG non capturée par l'extraction de feuilles (élément SVG interne non testé isolément)
01.32,01 - En-tête / Network bar / Navigation,Lien icône Mon compte,a[aria-label='Mon compte'],lien compte équivalent,CONTRÔLE MANUEL REQUIS,icône SVG non capturée par l'extraction
01.33,01 - En-tête / Network bar / Navigation,Lien icône Panier,a.cart-action,lien panier équivalent,CONTRÔLE MANUEL REQUIS,icône SVG non capturée par l'extraction
01.34,01 - En-tête / Network bar / Navigation,Badge compteur panier « 0 »,span.cart-count,badge panier équivalent,CONTRÔLE MANUEL REQUIS,"mésappariement de l'alignement automatique (signature texte trop courte, appariée à un élément non pertinent) — nécessite un contrôle visuel direct, non compté comme un écart réel : couleur (maquette=rgb(255, 255, 255) / V2=rgb(23, 20, 45)); background-color (maquette=rgb(79, 37, 216) / V2=aucune valeur); display (maquette=grid / V2=block); padding (maquette=0px 4px / V2=aucune valeur); border (maquette=2px solid rgb(255, 255, 255) / V2=0px none rgb(23, 20, 45)); font-family (maquette=Inter, ui-sans-serif, system-ui, -apple-system, ""system-ui"", ""Segoe UI"", sans-serif / V2=Georgia, ""Times New Roman"", serif); font-weight (maquette=850 / V2=600); border-radius (maquette=999px / V2=aucune valeur); grid-template-columns (maquette=7.01562px / V2=aucune valeur); align-items (maquette=center / V2=aucune valeur); font-size (maquette=10px / V2=19px); position (maquette=absolute / V2=static)"
01.35,01 - En-tête / Network bar / Navigation,Bouton menu mobile (☰),button.menu-button,bouton menu mobile équivalent,CONTRÔLE MANUEL REQUIS,"hors périmètre desktop 1280px (élément mobile), non testé à ce viewport"
01.36,01 - En-tête / Network bar / Navigation,Panneau de recherche (formulaire overlay),form.search-panel,formulaire recherche équivalent,CONFORME,"présent des deux côtés, display:none par défaut confirmé"
01.37,01 - En-tête / Network bar / Navigation,Label « Rechercher sur le site »,form.search-panel label,label recherche équivalent,CONTRÔLE MANUEL REQUIS,"non capturé isolément par l'extraction (panneau fermé, dimensions nulles)"
01.38,01 - En-tête / Network bar / Navigation,Champ de saisie recherche,input#search-home,input recherche équivalent,CONTRÔLE MANUEL REQUIS,"panneau de recherche fermé par défaut (max-height:0) — propriétés non mesurables en l'état replié ; structure et règles CSS (couleur, bordure, fond) vérifiées identiques à la maquette par lecture directe du code, non par mesure sur élément visible"
01.39,01 - En-tête / Network bar / Navigation,Bouton « Rechercher → »,form.search-panel button[type=submit],bouton recherche équivalent,CONTRÔLE MANUEL REQUIS,non capturé isolément par l'extraction (panneau fermé)
02.01,02 - Hero,Image de fond décorative (hero-photo),.hero-photo,.v2-home-hero-photo,CONTRÔLE MANUEL REQUIS,"dimension dépendante du fichier réellement uploadé par Serge (contenu variable) — écart mesuré (677→667px, opacity/position identiques) non significatif à ce titre"
02.02,02 - Hero,Halo décoratif (hero-glow),.hero-glow,.v2-home-hero-glow,CONFORME,"dimensions identiques 520×520, opacity 1, border-radius 50%"
02.03,02 - Hero,Conteneur hero-inner — layout,.hero-inner,.v2-home-hero-inner,CONFORME,"re-vérifié avec extract_full.js corrigé : hauteur dérivée de l'image de fond, déjà comptée en 02.01"
02.04,02 - Hero,Eyebrow « Porter le salut de Christ... »,p.eyebrow.light,.v2-eyebrow.light,CONFORME,re-mesuré : hauteur 21px identique après ajout de line-height:1.6 sur .v2-home-hero
02.05,02 - Hero,H1 ligne 1 « Révéler Christ. »,section.hero h1 (ligne 1),h1 (ligne 1),CONFORME,corrigé lors des passes précédentes
02.06,02 - Hero,H1 ligne 2 « Affermir le chrétien. »,section.hero h1 (ligne 2),h1 (ligne 2),CONFORME,corrigé lors des passes précédentes
02.07,02 - Hero,H1 ligne 3 em « Manifester le Royaume. »,section.hero h1 em,h1 em,CONFORME,
02.08,02 - Hero,Paragraphe hero-text (résumé),p.hero-text span.hero-summary,.v2-home-hero p span,CONFORME,corrigé lors des passes précédentes (bold restauré)
02.09,02 - Hero,Lien « Lire davantage »,p.hero-text a,lien équivalent,CONFORME,"corrigé : font-family Inter restauré (héritait Manrope), background-image dégradé violet restauré (sous-lignage animé au survol identique à la maquette, background-size 0→100% 55%) — largeur/hauteur (120×31) identiques"
02.10,02 - Hero,Bloc hero-actions — conteneur/layout,.hero-actions,.v2-hero-actions,CONFORME,"re-vérifié : hauteur 57px identique désormais (dérivée des boutons 02.11/02.12, résolue)"
02.11,02 - Hero,Bouton primaire « Je désire connaître Jésus » + flèche,a.button-primary (hero),bouton primaire équivalent,CONFORME,"re-mesuré directement : couleur blanche, dégradé violet, font-weight 750, dimensions (251×57) identiques — l'écart du référentiel initial (couleur rgb(215,201,255), font-weight 600) était un artefact d'appariement automatique (confondu avec la flèche du ticker), non un défaut réel"
02.12,02 - Hero,Bouton ghost « J'invite Serge » + flèche,a.button-ghost,bouton ghost équivalent,CONFORME,corrigé : line-height restauré via cascade .v2-home-hero — hauteur 57px identique désormais
03.01,03 - Carte Rosée Matinale (dew-card),Carte dew-card — conteneur (grid/border/radius),article.dew-card,.v2-dew-card,CONFORME,"border, border-radius (18px) identiques ; hauteur identique (198px) ; répartition des colonnes différente mais exclue du périmètre (page à contenu quotidien variable)"
03.02,03 - Carte Rosée Matinale (dew-card),Badge « Rosée matinale »,.dew-label,.v2-dew-label,CONFORME,
03.03,03 - Carte Rosée Matinale (dew-card),Bloc date — conteneur,.dew-date,.v2-dew-date,CONFORME,"corrigé (grid-row:1 retiré, ordre badge→date rétabli)"
03.04,03 - Carte Rosée Matinale (dew-card),Texte « Édition du jour »,.dew-date span,.v2-dew-date span,CONFORME,corrigé : font-family Inter restauré via cascade .v2-dew-wrap (héritait Manrope) — hauteur 19px identique désormais
03.05,03 - Carte Rosée Matinale (dew-card),Date (time),.dew-date time,.v2-dew-date time,CONFORME,corrigé : font-family Inter restauré via cascade — hauteur 22px identique désormais
03.06,03 - Carte Rosée Matinale (dew-card),Titre h2 (pensée du jour),.dew-content h2,.v2-dew-content h2,CONFORME,"corrigé : couleur rgb(23,20,45) restaurée (ancien --ink hérité), letter-spacing fantôme retiré (héritage de la règle globale h1..h4, surchargé localement sur .v2-dew-content h2)"
03.07,03 - Carte Rosée Matinale (dew-card),Extrait (paragraphe),.dew-content p,.v2-dew-content p,CONFORME,"re-mesuré directement : font-family Inter (hérité de .v2-dew-wrap), couleur, taille identiques — le statut initial provenait d'une troncature de comparaison"
03.08,03 - Carte Rosée Matinale (dew-card),Lien « Lire la pensée du jour » + flèche,.dew-wrap .arrow-link,.v2-dew-wrap .v2-arrow-link,CONFORME,"corrigé : font-size 14px restauré (était 13px, classe .v2-dew-card>a incomplète) — police/couleur/poids identiques désormais ; largeur 163px vs 170px (maquette) : écart mineur résiduel, contenu identique, sous le seuil de significativité visuelle"
04.01,04 - Carte Je Confesse (confession-card),Carte confession-card — conteneur,article.confession-card,.v2-confession-card,CONFORME,"border, border-radius identiques ; hauteur 188px après ajout de la date manquante (04.03) — cohérent avec la grille à 4 colonnes de la maquette (.confession-card : 210px/170px/1fr/auto), qui réserve la 2e colonne à un bloc libellé+date comme .dew-date sur Rosée Matinale juste au-dessus"
04.02,04 - Carte Je Confesse (confession-card),Badge « Je Confesse »,.confession-label,.v2-confession-label,CONFORME,
04.03,04 - Carte Je Confesse (confession-card),Texte « Proclamation du jour »,.confession-meta (structure prévue mais date absente de ce snapshot statique),.v2-confession-meta (span libellé + time réel),CONFORME,"corrigé (retour de validation humaine, 13/09) : la maquette statique n'affiche aucune date ici, mais sa propre grille (.confession-card, 4 colonnes) et le style quasi identique à .dew-date/.dew-date span de Rosée Matinale montrent qu'un bloc libellé+date était prévu au même endroit — jamais codé en dur : real article_date de getConfessionDuJour (même champ que roseeDuJour.article_date), affiché via <time> uniquement si confessionDuJour existe. font-family Inter toujours correct via cascade .v2-confession-wrap."
04.04,04 - Carte Je Confesse (confession-card),Citation (blockquote),.confession-content blockquote,.v2-confession-content blockquote,CONFORME,"BUG RÉEL CORRIGÉ : font-size remis à 23px (était fixé à 21px par erreur dans .v2-confession-content blockquote, indépendamment du contenu quotidien variable) — line-height 31.05px identique à la maquette ; la hauteur totale reste différente car le texte réel du jour diffère (page à contenu quotidien variable, exclusion déjà actée)"
04.05,04 - Carte Je Confesse (confession-card),Lien « Lire et proclamer » + flèche,.confession-wrap .arrow-link,.v2-confession-wrap .v2-arrow-link,CONFORME,"corrigé : font-size 14px restauré (était 13px, même défaut que 03.08)"
05.01,05 - Connaître Jésus (jesus-stage / jesus-topics),Bloc titre de section — conteneur,.section-heading.jesus-heading,.v2-section-heading (variante jesus),CONFORME,re-vérifié avec extract_full.js corrigé
05.02,05 - Connaître Jésus (jesus-stage / jesus-topics),Eyebrow « La porte vers la vie »,.jesus-heading .eyebrow,.v2-eyebrow,CONFORME,"re-mesuré directement : line-height 20.8px, hauteur 21px identiques"
05.03,05 - Connaître Jésus (jesus-stage / jesus-topics),H2 « Connaître Jésus »,.jesus-heading h2,h2 équivalent,CONFORME,"corrigé : couleur rgb(23,20,45) restaurée localement (.v2-jesus-gateway .v2-section-heading h2), sans toucher à la classe partagée .v2-section-heading (utilisée aussi par [06]-[08], hors de ce lot) — hauteur 68px identique désormais"
05.04,05 - Connaître Jésus (jesus-stage / jesus-topics),Paragraphe d'intro de section,.jesus-heading > p,p équivalent,CONFORME,"re-mesuré directement : Inter/18px/400/lineHeight 29.7px, 550×59 identiques — le statut initial provenait d'une troncature de comparaison"
05.05,05 - Connaître Jésus (jesus-stage / jesus-topics),Bloc vidéo + intro — conteneur (jesus-stage),.jesus-stage,.v2-jesus-stage,CONFORME,"corrigé : min-height 475px restauré (était 440px, .v2-jesus-stage et .v2-jesus-video-frame) — hauteur 475px identique à la maquette désormais"
05.06,05 - Connaître Jésus (jesus-stage / jesus-topics),Lien miniature vidéo (video-frame),a.video-frame,.v2-video-frame,CONFORME,re-vérifié
05.07,05 - Connaître Jésus (jesus-stage / jesus-topics),Image miniature vidéo,a.video-frame img,.v2-video-frame img,CONFORME,"re-mesuré directement : object-fit cover déjà correct ; hauteur du cadre 475px identique après correction du min-height (05.05) — dimensions de l'image elle-même dépendantes du fichier vidéo réel (thumbnail), non significatif"
05.08,05 - Connaître Jésus (jesus-stage / jesus-topics),Icône lecture (▶),a.video-frame .play,.v2-video-frame .v2-play,CONFORME,"BUG MAJEUR CORRIGÉ : le bouton play affichait des couleurs inversées (fond blanc/icône sombre au lieu de fond violet/icône blanche), une taille erronée (66px au lieu de 74px), un positionnement par margin:auto au lieu de la technique inset 50%+transform, et aucune ombre portée — entièrement corrigé sur .v2-jesus-video-frame .play pour correspondre à la règle .play de la maquette (couleur, fond, taille, box-shadow, positionnement identiques désormais)"
05.09,05 - Connaître Jésus (jesus-stage / jesus-topics),Bloc jesus-intro — conteneur,.jesus-intro,.v2-jesus-intro,CONFORME,re-vérifié
05.10,05 - Connaître Jésus (jesus-stage / jesus-topics),Micro-label « Une histoire incroyable... »,.jesus-intro .micro-label,.v2-jesus-intro .v2-micro-label,CONFORME,"BUG RÉEL CORRIGÉ : la règle .v2-jesus-intro .micro-label avait des valeurs erronées sur presque toutes les propriétés (couleur rgb(205,187,255) au lieu de rgb(160,119,255), text-transform none au lieu de uppercase, letter-spacing absent, font-weight 750 au lieu de 800, font-size 13px au lieu de 12px, margin-bottom 10px au lieu de 18px) — entièrement réalignée sur la règle générique .micro-label de la maquette"
05.11,05 - Connaître Jésus (jesus-stage / jesus-topics),H3 « Pourquoi Jésus est-il venu ? »,.jesus-intro h3,.v2-jesus-intro h3,CONFORME,corrigé : letter-spacing fantôme retiré (letter-spacing:normal ajouté sur .v2-jesus-intro h3)
05.12,05 - Connaître Jésus (jesus-stage / jesus-topics),Paragraphe jesus-intro,.jesus-intro p:nth-of-type(2),.v2-jesus-intro p,CONFORME,corrigé : margin restauré à 22px 0 28px (était 18px 0 24px) — hauteur 72px identique à la maquette
05.13,05 - Connaître Jésus (jesus-stage / jesus-topics),Bouton « Entrer dans cet univers » + flèche,.jesus-intro .button-primary,.v2-jesus-intro .v2-button-primary,CONFORME,"BUG RÉEL CORRIGÉ : le bouton s'étirait sur toute la largeur du conteneur flex (363px au lieu de 234px) car .jesus-intro .button{align-self:flex-start} n'avait pas d'équivalent V2 — ajouté (.v2-jesus-intro .v2-button-primary{align-self:flex-start}) ; dimensions (234×55) identiques à la maquette désormais. L'écart de couleur/font-weight du référentiel initial était un artefact d'appariement automatique (confondu avec la flèche du ticker), déjà résolu par cette mesure directe"
05.14,05 - Connaître Jésus (jesus-stage / jesus-topics),Bloc jesus-topics — conteneur (grid 4 colonnes),.jesus-topics,.v2-jesus-topics,CONFORME,corrigé : hauteur 132px identique à la maquette désormais (dérivée des corrections 05.15-05.26)
05.15,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 01 — numéro,a[href*='naissance'] span,span numéro équivalent,CONFORME,"corrigé : font-size 19px restauré (était 18px, .v2-jesus-topics span) — line-height 30.4px, hauteur 30px identiques à la maquette"
05.16,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 01 — titre « Sa naissance miraculeuse »,a[href*='naissance'] strong,strong équivalent,CONFORME,"BUG RÉEL CORRIGÉ : font-weight forcé à 500 au lieu du gras par défaut de <strong> (700, non déclaré dans la maquette), font-size 16px au lieu de 17px, couleur rgb(27,23,48) au lieu de rgb(23,20,45) (ancien --ink) — .v2-jesus-topics strong entièrement corrigée, dimensions identiques désormais"
05.17,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 01 — flèche,a[href*='naissance'] b,b équivalent,CONFORME,"re-mesuré directement : couleur rgb(109,49,242), font-weight 700 identiques — l'écart du référentiel initial (couleur rgb(215,201,255), font-weight 600) était un artefact d'appariement automatique (confondu avec la flèche du ticker), le seul écart réel (font-family Manrope→Inter) est corrigé par la cascade .v2-jesus-gateway"
05.18,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 02 — numéro,a[href*='oeuvre'] span,span numéro équivalent,CONFORME,"corrigé : font-size 19px restauré (était 18px, .v2-jesus-topics span) — line-height 30.4px, hauteur 30px identiques à la maquette"
05.19,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 02 — titre « Sa mission et ses œuvres »,a[href*='oeuvre'] strong,strong équivalent,CONFORME,"BUG RÉEL CORRIGÉ : font-weight forcé à 500 au lieu du gras par défaut de <strong> (700, non déclaré dans la maquette), font-size 16px au lieu de 17px, couleur rgb(27,23,48) au lieu de rgb(23,20,45) (ancien --ink) — .v2-jesus-topics strong entièrement corrigée, dimensions identiques désormais"
05.20,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 02 — flèche,a[href*='oeuvre'] b,b équivalent,CONFORME,"re-mesuré directement : couleur rgb(109,49,242), font-weight 700 identiques — l'écart du référentiel initial (couleur rgb(215,201,255), font-weight 600) était un artefact d'appariement automatique (confondu avec la flèche du ticker), le seul écart réel (font-family Manrope→Inter) est corrigé par la cascade .v2-jesus-gateway"
05.21,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 03 — numéro,a[href*='resurrection'] span,span numéro équivalent,CONFORME,"corrigé : font-size 19px restauré (était 18px, .v2-jesus-topics span) — line-height 30.4px, hauteur 30px identiques à la maquette"
05.22,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 03 — titre « Sa mort et sa résurrection »,a[href*='resurrection'] strong,strong équivalent,CONFORME,"BUG RÉEL CORRIGÉ : font-weight forcé à 500 au lieu du gras par défaut de <strong> (700, non déclaré dans la maquette), font-size 16px au lieu de 17px, couleur rgb(27,23,48) au lieu de rgb(23,20,45) (ancien --ink) — .v2-jesus-topics strong entièrement corrigée, dimensions identiques désormais"
05.23,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 03 — flèche,a[href*='resurrection'] b,b équivalent,CONFORME,"re-mesuré directement : couleur rgb(109,49,242), font-weight 700 identiques — l'écart du référentiel initial (couleur rgb(215,201,255), font-weight 600) était un artefact d'appariement automatique (confondu avec la flèche du ticker), le seul écart réel (font-family Manrope→Inter) est corrigé par la cascade .v2-jesus-gateway"
05.24,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 04 — numéro,a[href*='recevoir'] span,span numéro équivalent,CONFORME,"corrigé : font-size 19px restauré (était 18px, .v2-jesus-topics span) — line-height 30.4px, hauteur 30px identiques à la maquette"
05.25,05 - Connaître Jésus (jesus-stage / jesus-topics),Item topic 04 — titre « Recevoir la vie en Jésus »,a[href*='recevoir'] strong,strong équivalent,CONFORME,"BUG RÉEL CORRIGÉ : font-weight forcé à 500 au lieu du gras par défaut de <strong> (700, non déclaré dans la maquette), font-size 16px au lieu de 17px, couleur rgb(27,23,48) au lieu de rgb(23,20,45) (ancien --ink) — .v2-jesus-topics strong entièrement corrigée, dimensions identiques désormais"
