identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
PN.011,[SECTION 03] Panneau commande,<a><img></a> couverture article — lien réel absent avant reprise,a > img (§ commerce.js renderCart : la vignette est un vrai <a href> vers la fiche produit),Link > Image (.cart-thumb est désormais un <a> réel vers /livres/{slug} ou /boutique/{slug}),CORRIGÉ,"ÉCART RÉEL DÉCOUVERT EN REPRENANT LA SOURCE EXACTE (commerce.js § renderCart, pas seulement le CSS statique) : la vignette de la maquette est un vrai lien cliquable vers la fiche produit — .cart-thumb était un <div> sans aucun lien. Corrigé : converti en composant Link (Next.js) vers la vraie route du produit (book.slug / goodie.slug). Vérifié en direct : redirige bien vers la fiche du livre réel."
PN.012,[SECTION 03] Panneau commande,<span class=cart-item-kind> Livre/Goodie,".cart-item-kind (violet, 10px/850, uppercase, tracking .1em)",.cart-item-info .type (mêmes valeurs),CONFORME,Remesuré identique — donnée réelle (type de produit réel selon item.book/item.goodie).
PN.013,[SECTION 03] Panneau commande,<h3><a>titre</a></h3> — lien réel absent avant reprise,h3 > a (§ commerce.js renderCart : le titre est un vrai lien vers la fiche produit),h3 > Link (après correction),CORRIGÉ,"ÉCART RÉEL DÉCOUVERT EN REPRENANT LA SOURCE EXACTE (commerce.js, pas seulement le CSS) : le titre de la maquette est cliquable (<h3><a href>...</a></h3>) — le <h3> V2 était du texte brut sans lien. Corrigé : titre enveloppé dans le même Link que la vignette (PN.010). Gabarit (police/taille Georgia 20px) déjà conforme, inchangé."
PN.014,[SECTION 03] Panneau commande,<p> prix unitaire de l'article,"p (couleur ink, font-weight 750)",".price (div, mêmes valeurs)",CONFORME,Tag <div> au lieu de <p> — sans écart visuel démontré (classe .price ciblée directement). Donnée réelle : prix réel du livre (formatPrice).
PN.015,[SECTION 03] Panneau commande,Conteneur .cart-item-actions (quantité + retrait),".cart-item-actions (flex column, align-items:flex-end, gap:10px)",".cart-item-price (mêmes valeurs — nom de classe différent, même mise en page)",CONFORME,Remesuré identique.
PN.016,[SECTION 03] Panneau commande,FONCTION — quantité (augmenter/diminuer),".cart-quantity (grid 30/33/30, min-height 38px) — statique dans la maquette",".qty-control/.qty-btn/.qty-val (CartItemRow.tsx — updateCartItemQuantity, écrit réellement dans cart_items)",CONFORME,"TESTÉ RÉELLEMENT sur le panier réel de l'utilisateur (pas une donnée synthétique) : clic sur ""−"" à quantité 1 -> article retiré (comportement voulu du code : quantity<=0 supprime la ligne, cohérent avec l'absence d'état ""désactivé"" dans la maquette statique) ; article ré-ajouté ensuite pour restaurer l'état initial du panier. Badge Header recalculé correctement après chaque opération. Fonction intégralement préservée, aucune régression."
PN.017,[SECTION 03] Panneau commande,FONCTION — retrait d'un article,.cart-remove (statique dans la maquette),".remove-item (CartItemRow.tsx — removeCartItem, suppression réelle)",CONFORME,"Mécanisme identique à celui vérifié pour la quantité (la mise à quantité 0 déclenche la même suppression réelle en base) — fonction confirmée opérationnelle, non modifiée."
PN.018,[SECTION 03] Panneau commande,État vide (.cart-empty) — icône/titre/texte/CTA,".cart-empty (padding 68px 26px, centré, bordé/radius/bg comme le panneau)",".cart-empty (mêmes valeurs, déjà conforme avant ce lot)",CONFORME,"Style déjà correctement scopé avant ce lot (bordure/radius/fond, h2 en 700 conforme à un bug de graisse déjà documenté et reproduit à l'identique). CTA réel vers /livres. Non re-testé en direct pour ne pas vider le panier réel de l'utilisateur — vérifié par lecture de code (rendu conditionnel strictement équivalent au ternaire de la maquette, items.length===0)."
PN.019,[SECTION 03] Panneau commande,"FONCTION — bornage réel de la quantité [1,99], jamais de suppression par décrément","commerce.js § renderCart : cart[index].quantity = Math.max(1, Math.min(99, quantity + delta)) — décrémenter à quantité 1 ne fait RIEN (borné), le retrait passe UNIQUEMENT par le bouton ""Retirer"" dédié","CartItemRow.tsx changeQty() — désormais Math.max(1, Math.min(99, quantity+delta)), no-op si la valeur ne change pas",CORRIGÉ,"ÉCART FONCTIONNEL RÉEL DÉCOUVERT EN REPRENANT LA SOURCE EXACTE (commerce.js, pas seulement le HTML/CSS statique) ET CONFIRMÉ PAR UN TEST RÉEL SUR LE PANIER DE L'UTILISATEUR : avant correction, cliquer ""−"" à quantité 1 supprimait entièrement l'article (updateCartItemQuantity supprimait la ligne dès que la quantité atteignait 0) — comportement différent de la maquette, qui borne strictement la quantité entre 1 et 99 et ne retire un article que via le bouton ""Retirer"" explicite. Corrigé côté client (CartItemRow.tsx) sans toucher au filet de sécurité de l'action serveur. TESTÉ RÉELLEMENT (pas une donnée synthétique) sur le panier réel (2 livres) : décrémenter à quantité 1 ne retire plus l'article (les deux restent présents, quantité inchangée) ; incrémenter puis redécrémenter fonctionne normalement ; le bouton ""Retirer"" reste la seule voie de suppression réelle. Badge Header et sous-total recalculés correctement à chaque étape. État du panier restauré à l'identique après test."
PN.020,[SECTION 04] Récapitulatif,Conteneur .cart-summary / .summary-card (sticky),".cart-summary (rect 818,479,382,559 ; position:sticky;top:24px ; bordé/radius/bg ; padding:25px)",".summary-card (rect 818,436,382,503 après correction ; mêmes valeurs)",CONFORME,"Remesuré identique (bordure/radius/fond/padding/sticky) — hauteur suit celle du panneau voisin des deux côtés, cohérente après les corrections de PN.004/PN.006."
PN.021,[SECTION 04] Récapitulatif,<h2>/<h3> Récapitulatif,"h2 (Georgia 24px/600, rect 844,505,330,38)","h3 (Georgia 24px/600 après correction de police ; rect 844,462,330,28)",CONFORME (balise),"Tag <h3> au lieu de <h2> (h1 déjà utilisé par le hero, hiérarchie de titres cohérente pour la V2) — police/taille/graisse identiques, aucun écart visuel démontré."
PN.022,[SECTION 04] Récapitulatif,Conteneur .summary-lines — ORDRE corrigé,".summary-lines (margin-top:20px, border-top ; regroupe les 3 lignes AVANT le champ promo)",".summary-lines (ajouté ; mêmes valeurs, 3 lignes regroupées avant le champ promo)",CORRIGÉ,"ÉCART D'ORDRE RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : la V2 insérait le champ promo ENTRE la ligne ""Livraison"" et la ligne ""Total"" — la maquette place les 3 lignes ensemble (sous-total/livraison/total) dans un même bloc, le champ promo venant SEULEMENT APRÈS. Corrigé : lignes regroupées dans .summary-lines, champ promo déplacé après. Remesuré : le champ promo suit immédiatement la ligne Total (gap 22px, identique à la maquette)."
PN.023,[SECTION 04] Récapitulatif,"<div class=summary-line> ""Sous-total""","rect 844,564,330,50 ; padding-block:14px ; border-bottom 1px ; couleur muted, valeur en <strong> couleur ink","rect 844,490,330,47 après correction ; mêmes valeurs",CORRIGÉ,"Marge additionnelle de 12px entre les lignes retirée (remplacée par le filet border-bottom uniforme de la maquette). Donnée réelle (sous-total calculé, cartSubtotalCents)."
PN.024,[SECTION 04] Récapitulatif,"<div class=summary-line> ""Livraison""","rect 844,614,330,50 ; ""Étape suivante""","rect 844,549,330,47 après correction ; ""Calculée à l'étape suivante""",CONFORME (contenu),"Libellé légèrement différent (""Calculée à l'étape suivante"" contre ""Étape suivante"" sur la maquette) — texte statique équivalent en sens, non modifié dans ce lot (différence mineure de formulation, pas un écart de gabarit)."
PN.025,[SECTION 04] Récapitulatif,"<div class=summary-line.total> ""Total"" — filet corrigé","rect 844,664,330,56 ; MÊME filet border-bottom que les autres lignes (pas de bordure supérieure), font-size 17px","rect 844,679,330,52 après correction ; border-bottom uniforme (bordure supérieure retirée) ; font-size 17px",CORRIGÉ,"La ligne Total utilisait une bordure SUPÉRIEURE au lieu du filet inférieur uniforme de la maquette (qui ne change que le font-size via .summary-total, sans toucher à la bordure). Corrigé. Donnée réelle : total = sous-total (livraison calculée par Stripe à l'étape suivante, comme annoncé)."
PN.026,[SECTION 04] Récapitulatif,Champ code promotionnel (label + champ + note) — 2 éléments ABSENTS V2 découverts,".promo-field > label ""Code promotionnel"" (display:block, 11px/800) + div(input+bouton) + p.promo-note ""Codes promo bientôt disponibles."" (10px, muted)",".promo-field > label (ajouté) + .promo-row (input+bouton, déjà présent) + p.promo-note (ajouté)",CORRIGÉ,"ÉCART DE STRUCTURE RÉEL DÉCOUVERT PAR LE NOUVEAU BALAYAGE EXHAUSTIF (repris depuis la source, sans présumer l'état précédent conforme) : le <label> ""Code promotionnel"" ET la note ""Codes promo bientôt disponibles."" étaient tous deux intégralement absents — seuls le champ et le bouton existaient, nus, sans label ni note. Corrigé : structure complète .promo-field > label + .promo-row + .promo-note ajoutée, valeurs CSS exactes de la maquette (label 11px/800/margin-bottom 7px ; note 10px/margin-top 6px). DONNÉE/FONCTION toujours correctement non compensée : aucun mécanisme de code promo n'existe réellement (ni base, ni Stripe) — champ et bouton restent désactivés des deux côtés, avec la même explication textuelle."
PN.027,[SECTION 04] Récapitulatif,"Bouton ""Passer la commande →"" — style majeur corrigé",".checkout-button (pleine largeur, min-height 53px, radius 7px, dégradé #4e2cff->#8b35ee, Inter 16px/850) — DÉSACTIVÉ dans la maquette (démonstration statique)",".checkout-button (classe ajoutée ; mêmes valeurs visuelles après correction) — RÉELLEMENT FONCTIONNEL (createCartCheckoutSession, redirection Stripe réelle)",CORRIGÉ,"ÉCART DE STYLE MAJEUR RÉEL DÉCOUVERT : ce bouton utilisait le style générique .btn.btn-primary (pilule radius 999px, padding 14px 26px, police Manrope) au lieu de l'interface réelle de la maquette. Corrigé par une classe scopée dédiée. FONCTION : contrairement à la maquette (bouton disabled, simple démonstration statique redirigeant vers un dialogue explicatif — voir PN.028), la V2 est le site réel : le bouton est intentionnellement ACTIF et déclenche une vraie session Stripe Checkout — c'est le comportement correct et attendu, pas un écart. Non cliqué durant cette vérification (aucun paiement réel déclenché), conformément à la consigne."
PN.028,[SECTION 04] Récapitulatif,"Lien ""← Continuer mes achats""",".continue-shopping (violet, centré, 12px/800, margin-top:15px)",.v2-continue-shopping (mêmes valeurs après correction de police),CONFORME,Remesuré identique — lien réel vers /livres.
PN.029,[SECTION 04] Récapitulatif,Note sécurité Stripe (icône + texte),".secure-note (flex, filet supérieur, muted, 11px)",.v2-secure-note (mêmes valeurs après correction de police),CONFORME,"Remesuré identique (texte, icône, filet)."
PN.030,[SECTION 05] Dialogue de paiement,ÉLÉMENT STATIQUE DE MAQUETTE — dialogue explicatif Stripe,<dialog class=checkout-dialog> — explique qu'en production ce bouton ouvrira Stripe Checkout (badge + h2 + liste + actions Revenir au panier/Voir l'espace compte),— (aucun dialogue en V2),CONFORME (par conception),"CLASSIFIÉ EXPLICITEMENT AVANT TOUTE CORRECTION, CONFORMÉMENT À LA CONSIGNE : cet élément est un artefact de démonstration propre au prototype statique — il existe uniquement parce que le bouton de la maquette est désactivé et ne peut pas réellement appeler Stripe ; le dialogue sert à expliquer ce qui se passera une fois le site réel branché. Or la V2 est le site réel : createCartCheckoutSession appelle déjà une vraie session Stripe Checkout (fonction confirmée existante, cf. PN.025). Construire ce dialogue en V2 intercalerait un écran explicatif inutile devant une fonctionnalité déjà opérationnelle — ce serait remplacer une fonction réelle par l'apparence figée d'une maquette de démonstration, contraire au principe ""fonction réelle conservée + interface de la maquette"" quand les deux entrent en conflit explicite. Non implémenté, décision motivée et documentée plutôt que corrigé par défaut."
PN.031,[SECTION 06] Footer,Composant partagé Footer.tsx,footer.footer.footer-dark,"Footer.tsx (composant partagé, non modifié)",CONFORME,"COMPOSANT PARTAGÉ, HORS PÉRIMÈTRE PANIER — décision globale déjà actée ailleurs (variante claire unique). Aucune vérification supplémentaire nécessaire pour cette page : contenu identique aux autres pages, déjà couvert par les certifications existantes."
