identifiant,section,element,selecteur_maquette,correspondant_v2,statut,note
FL.011,[SECTION 04] Fiche produit / Achat,"<p> ""Promesse du livre"" (.book-promise) — donnée CMS ajoutée",".book-promise (rect 563,531,637,110 ; Georgia 20px, filets 1px, padding 23px, marge 29px)",".book-promise (rect 563,574,637,110 ; mêmes styles, texte réel enregistré via l'Admin)",CORRIGÉ,"DONNÉE CMS AJOUTÉE ET VÉRIFIÉE DE BOUT EN BOUT (décision validée) : nouveau champ facultatif `books.promise` (migration 20260915000000_books_promise_field.sql, appliquée en production), formulaire Admin (""Promesse du livre""), action `updateBook` (trim()||null, jamais de valeur fabriquée), rendu conditionnel `{book.promise && <p className=""book-promise"">...}` sans repli sur `description`. Chaîne réelle vérifiée : (1) lecture publique de la colonne via la clé publique (RLS, même chemin que getBookBySlug) — schéma vivant ; (2) écriture réelle via l'interface Admin par l'utilisateur (""Toute vie se construit depuis une sagesse. Laquelle gouverne réellement la tienne, n'est ce pas?"") ; (3) rendu public remesuré : 110px de haut, styles strictement identiques à la maquette. Vide/null -> aucun bloc, aucun espace réservé (comportement vérifié avant l'ajout de la donnée)."
FL.012,[SECTION 04] Fiche produit / Achat,"<p> ""14,90 €"" (prix)",".book-price (rect 563,669,637,59 ; Georgia 37px, margin 28px 0 22px)",".product-price (rect 563,712,140,59 ; mêmes styles, margin porté par .price-actions-row)",CONFORME,"Choix d'implémentation différent (marge portée par le conteneur .price-actions-row plutôt que par le prix lui-même) sans écart visuel : gap mesuré identique (28px au-dessus, 22px en dessous) des deux côtés. Largeur 140px (V2, largeur naturelle du texte) contre 637px (maquette, bloc pleine largeur) sans incidence visuelle, le texte étant aligné à gauche des deux côtés."
FL.013,[SECTION 04] Fiche produit / Achat,Conteneur .purchase-row (grille quantité + bouton),".purchase-row (rect 563,750,637,54 ; grid 92px+1fr, gap:10px)",".v2-purchase-row (rect 563,794,637,54 ; mêmes valeurs)",CONFORME,"Remesuré identique (grille, gap, dimensions)."
FL.014,[SECTION 04] Fiche produit / Achat,Conteneur .quantity-control,".quantity-control (rect 563,750,92,54 ; grid 30/32/30, border 1px, radius 7px)",".v2-quantity-control (rect 563,794,92,54 ; mêmes valeurs)",CONFORME,"Remesuré identique (grille, bordure, radius, fond)."
FL.015,[SECTION 04] Fiche produit / Achat,"<button> ""−"" (diminuer la quantité)",".quantity-control button[data-delta=""-1""] (toujours violet, aucune désactivation réelle sur la maquette statique)",.v2-quantity-control button (grisé/désactivé à quantité=1),CONFORME (amélioration fonctionnelle documentée),"La maquette statique ne simule aucun état désactivé (elle affiche toujours la couleur violette active). La V2 désactive réellement le bouton à quantité minimale (1), une amélioration d'accessibilité/UX réelle et volontaire, non une régression — fonction de quantité vérifiée opérationnelle. Dimensions/police identiques par ailleurs."
FL.016,[SECTION 04] Fiche produit / Achat,<output> quantité,".quantity-control output (texte ""1"", fontWeight 750)",.v2-quantity-control output,CONFORME,Remesuré identique.
FL.017,[SECTION 04] Fiche produit / Achat,"<button> ""+"" (augmenter la quantité)",".quantity-control button[data-delta=""1""]",.v2-quantity-control button:last-child,CONFORME (résiduel négligeable),"Padding UA par défaut (1px 6px sur la maquette, 0 en V2) sans effet visuel — dimensions du bouton fixées par la grille, déjà arbitré ailleurs dans ce chantier."
FL.018,[SECTION 04] Fiche produit / Achat,"<button> ""Ajouter au panier""",".add-to-cart-primary (rect 563,750,637,54 ; Inter 16px/800, dégradé violet, radius 7px)",".v2-add-to-cart-primary (rect 563,794,637,54 ; mêmes valeurs après correction précédente du font-size)",CONFORME (résiduel négligeable),"Remesuré identique en dimensions/police/couleurs/dégradé. Résiduel : line-height ""normal"" (V2) contre 25.6px (maquette, héritée) et padding UA par défaut — sans effet visible, le texte du bouton étant centré identiquement des deux côtés (bouton natif, centrage géré par le navigateur indépendamment du line-height)."
FL.019,[SECTION 04] Fiche produit / Achat,<p> note Stripe/livraison,".purchase-note (rect 563,818,637,19 ; Inter 12px, icône 16×16)",".v2-purchase-note (rect 563,862,637,19 ; mêmes valeurs)",CONFORME,"Remesuré identique (texte, police, icône, position relative après correction du badge)."
FL.020,[SECTION 05] Fiche technique,Grille specs-table (3 colonnes) — marge/breakpoints,"dl.book-meta (rect 563,871,637,166 ; margin:34px 0 16px ; radius:8px ; grid 3 col desktop -> 2 col <980px -> 2 col+min-height:76px/padding:13px 11px <520px)",".specs-table (rect 563,915,637,166 après correction ; mêmes valeurs/breakpoints)",CORRIGÉ,"2 ÉCARTS DE COMPOSITION RÉELS DÉCOUVERTS PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : (1) margin-bottom manquant : la maquette utilise un <dl> qui hérite du margin-block par défaut du navigateur (~16px, jamais neutralisé dans commerce.css) — mesuré ""34px 0px 16px"" contre ""34px 0px 0px"" côté V2 (un <div>, sans marge par défaut). Corrigé en fixant margin:34px 0 16px explicitement. (2) Breakpoint <520px manquant : § .book-meta div{min-height:76px;padding:13px 11px} de la maquette sous 520px n'était pas porté côté V2 (seul le breakpoint <980px l'était). Ajouté. Remesuré : 166px de haut, 637px de large, radius 8px, marge 34/0/16 — identique au pixel. Non-régression vérifiée sur la fiche Goodie (composant .specs-table/.specs-row partagé)."
FL.021,[SECTION 05] Fiche technique,Structure DOM des 6 cellules (label + valeur),"dt+dd dans <dl>, chacun display:block (largeur pleine 183px, indépendante du contenu)","2 <span> dans un div.specs-row en display:flex;flex-direction:column (largeur naturelle du contenu, ex. 95px pour ""Éditeur"")",CONFORME,"Choix structurel différent (dl/dt/dd vs grille div/span en flex-column, déjà établi lors d'un chantier précédent) sans conséquence visuelle démontrée : le texte de chaque cellule est court et aligné à gauche des deux côtés, la largeur réduite du <span> label en V2 (contenu au lieu de pleine largeur) ne provoque ni chevauchement ni troncature. Non corrigé (changerait la structure d'un composant partagé sans bénéfice visuel démontré)."
FL.022,[SECTION 06] À propos de ce livre,"Conteneur section (fond, padding-block)",".book-description (rect 0,1141,1280,1020 ; bg #17142d ; padding-block:92px)",".product-desc (rect 0,1185,1280,1047 après correction ; mêmes valeurs)",CONFORME,"Fond et padding-block identiques des deux côtés. Hauteur totale 1047px contre 1020px : écart de 27px entièrement reporté depuis le contenu de la colonne de texte (voir paragraphe 4 ci-dessous, contenu CMS réel plus long) — pas un défaut de ce conteneur."
FL.023,[SECTION 06] À propos de ce livre,Grille 2 colonnes (titre sticky / texte),".commerce-wrap.book-description-grid (rect 80,1233,1120,836 ; grid 286px/754px ; gap:80px)",".v2-commerce-wrap (rect 80,1277,1120,885->863 après correction ; mêmes valeurs)",CORRIGÉ (hérité),"Grille elle-même déjà conforme (colonnes/gap identiques). Sa hauteur suit celle de son plus grand enfant (colonne de texte) — corrigée indirectement par les 2 corrections de police/marge ci-dessous (885px -> 863px, écart résiduel de 27px désormais entièrement attribuable au contenu CMS du paragraphe 4)."
FL.024,[SECTION 06] À propos de ce livre,"<h2> ""À propos de ce livre"" (colonne titre, sticky)","h2 (rect 80,1233,286,836 ; position:sticky;top:28px ; Georgia 61px)","h2 (rect 80,1277,286,885->863 après correction ; mêmes valeurs)",CONFORME,Comportement sticky déjà corrigé lors du lot SECTION 06 précédent (align-self:start retiré) — remesuré toujours fonctionnel (h2 stretch à la hauteur de sa ligne de grille). Police/taille/tracking identiques.
FL.025,[SECTION 06] À propos de ce livre,Conteneur colonne de texte (max-width),".book-description-copy (rect 446,1233,730,836 ; max-width:730px)","<div> 2e enfant de .v2-commerce-wrap (rect 446,1277,730,863 après correction ; max-width:730px)",CONFORME,max-width identique. Hauteur résiduelle expliquée par le contenu CMS du paragraphe 4.
FL.026,[SECTION 06] À propos de ce livre,"Paragraphe 1 (intro, gras) — police","<p><strong>Tu peux avoir la foi...</strong></p> (Georgia 24px/700, blanc plein, line-height 1.58)","<b>Tu peux avoir la foi...</b> (Georgia 24px/700 après correction, blanc plein)",CORRIGÉ,"ÉCART DE STYLE RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ (police réellement chargée vérifiée, pas seulement la valeur CSS) : `.product-desc b:first-child` ne redéclarait pas font-family — pour un <p>, `.product-desc p{font-family:var(--v2-serif)}` s'applique par cascade, mais un <b> ne correspond à aucune règle ciblant les <p> : la police retombait sur l'Inter sans-serif hérité de la page au lieu de Georgia. Corrigé en ajoutant font-family:var(--v2-serif) à la règle b:first-child. Remesuré : Georgia confirmé par le navigateur des deux côtés. Structure (absence de <p> englobant, artefact de saisie CMS) et contenu (léger écart de formulation ""mener une vie"" vs ""poursuivre une vie"") restent CONTENU CMS, non modifiés."
FL.027,[SECTION 06] À propos de ce livre,"Paragraphe 2 (""C'est là que se joue..."")",<p>...est-ce vraiment la vie que Dieu avait prévu que je vive&nbsp;?</p> (135px de haut),"<p>...(135px de haut, texte réel identique hormis l'espace insécable)",CONFORME (structure/composition) / CONTENU CMS À CORRIGER (espace insécable),"Gabarit strictement identique (135px des deux côtés, même police/couleur/line-height). CONTENU CMS résiduel non corrigé : espace normal au lieu d'insécable avant ""?"" dans le texte réellement enregistré — convention typographique française non appliquée à la saisie, non modifiée en base."
FL.028,[SECTION 06] À propos de ce livre,"Paragraphe 3 (""Derrière cette question..."")",<p>...trajectoire de ton existence.</p> (101px de haut),"<p>...(101px de haut, texte identique)",CONFORME,"Gabarit et contenu strictement identiques des deux côtés (101px, même texte)."
FL.029,[SECTION 06] À propos de ce livre,"Paragraphe 4 (titre du livre + ""Sophia, Sunesis et Phronesis"") — gras/italique imbriqués","<p><strong><em>Manifester ce que Dieu a prévu</em></strong> conduit... <em>Sophia, Sunesis et Phronesis</em> — voir, comprendre et agir — donnent...</p> (203px de haut)","<p><b><i>Manifester ce que Dieu a prévu</i></b> conduit... <i>Sophia, Sunesis et Phronesis</i>  - voir, comprendre et agir -...</p> (229px de haut)",CONFORME (structure/style) / CONTENU CMS À CORRIGER (tirets + longueur),"STRUCTURE/STYLE VÉRIFIÉS RÉELLEMENT CONFORMES : b/i (au lieu de strong/em, artefact de l'éditeur CMS) reçoivent bien le gras+italique et la couleur blanche héritée correctement (vérifié par lecture directe des styles calculés : b blanc/700, i ""Manifester..."" blanc/700/italique, i ""Sophia..."" blanc-72%/400/italique — identique au rendu attendu). CONTENU CMS À CORRIGER, non modifié : tirets simples avec espaces ("" - ... -"") au lieu de tirets cadratins (""—"") dans le texte réellement enregistré ; ce contenu réel, légèrement plus long que le texte de démonstration de la maquette, explique la totalité de l'écart de hauteur (229px contre 203px, 26px) — non comblé ni masqué par du CSS, conformément à la consigne."
FL.030,[SECTION 06] À propos de ce livre,"Paragraphe 5 (""Car Dieu n'a jamais attendu..."")",<p>...Il a déjà préparé des œuvres afin que tu y marches.</p> (68px de haut),"<p>...(68px de haut, texte identique)",CONFORME,"Gabarit et contenu strictement identiques des deux côtés (68px, même texte)."
FL.031,[SECTION 06] À propos de ce livre,"Paragraphe 6 (dernier, ""La question n'est donc plus seulement..."") — marge de fin","<p class=""..."":last-child>...depuis quelle sagesse es-tu en train de construire ta vie&nbsp;?</p> (68px de haut, margin-bottom:0)","<p>...(68px de haut, margin-bottom:0 après correction)",CORRIGÉ (composition) / CONTENU CMS À CORRIGER (espaces insécables),"ÉCART DE COMPOSITION RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : § .book-description-copy p:last-child{margin-bottom:0} de la maquette n'était pas porté côté V2 — le dernier paragraphe conservait 22px de marge basse superflue (margin:""0px 0px 22px"" mesuré). Corrigé en ajoutant `.product-desc p:last-child{margin-bottom:0}`. Remesuré : margin ""0px"" des deux côtés. CONTENU CMS résiduel non corrigé : espaces normaux au lieu d'insécables avant les deux ""?"" du texte réellement enregistré."
FL.032,[SECTION 08] Avis,Conteneur section (padding-block),".reviews-section (rect 175,2273,930,907 ; padding-block:85px 100px)",".v2-reviews-section (rect 175,2342,930,968->? après correction ; mêmes valeurs)",CONFORME,padding-block identique des deux côtés. Hauteur totale suit celle du contenu (voir lignes ci-dessous).
FL.033,[SECTION 08] Avis,Conteneur heading (grille 2 colonnes),".reviews-heading (rect 175,2358,930,175 ; grid 1fr/1fr ; gap:50px ; align-items:end ; margin-bottom:36px)",".v2-reviews-heading (rect 175,2427,930,175 après correction ; mêmes valeurs)",CORRIGÉ,"ÉCART DE STRUCTURE RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : la maquette place le h2 en 1re colonne et le <p> d'invite en 2e colonne de cette grille 2 colonnes. Une passe précédente avait regroupé h2+p dans la MÊME colonne (1re) pour loger .v2-reviews-summary (résumé note/étoiles, absent de la maquette pour cette page) en 2e colonne — plaçant le <p> au mauvais endroit (mesuré x=175 au lieu de x=665, dans la colonne du h2 au lieu de la sienne). Corrigé : h2 seul en colonne 1 ; <p> + résumé désormais empilés en colonne 2. Remesuré : hauteur de la grille 175px, identique au pixel à la maquette (était 226px avant correction)."
FL.034,[SECTION 08] Avis,"<h2> ""Vous avez déjà découvert ce produit ?""","h2 (rect 175,2358,440,175 ; Georgia clamp(36px,4.8vw,54px)/500)","h2 (rect 175,2427,440,175 après correction ; mêmes valeurs)",CONFORME,"Remesuré identique (police, taille, largeur de colonne, position)."
FL.035,[SECTION 08] Avis,"<p> ""Votre avis aide d'autres visiteurs — quelques secondes suffisent.""","p (rect 665,2482,440,51 ; colonne 2, couleur muted)","p (rect 665,2602,440,51 après correction ; mêmes valeurs)",CORRIGÉ,Repositionné en colonne 2 (voir conteneur heading ci-dessus). Remesuré : x=665/w=440 identique à la maquette.
FL.036,[SECTION 08] Avis,Résumé note/étoiles (.v2-reviews-summary) — SUPPLÉMENTAIRE V2,— (absent de la maquette : la colonne 2 ne contient que le <p> d'invite),".v2-reviews-summary (score moyen + étoiles + nombre d'avis réels, empilé sous le <p> en colonne 2)",SUPPLÉMENTAIRE V2,"AJOUT V2 RÉEL SANS ÉQUIVALENT MAQUETTE : aucune classe .reviews-summary/.big-score n'existe dans commerce.css ni dans le HTML de cette page. Fonctionnalité réelle et opérationnelle (moyenne + nombre d'avis réels via getReviewSummary, données réelles), conservée conformément au principe ""fonction réelle conservée"" — non retirée. Repositionnée sous le <p> d'invite (même colonne 2) plutôt que dans une colonne dédiée, pour respecter la structure 2 colonnes réelle de la maquette."
FL.037,[SECTION 08] Avis,Conteneur layout (grille avis/état vide | formulaire),".reviews-layout (rect 175,2569,930,511 ; grid 371px/557px ; border 1px ; radius 12px ; bg #fff)",".v2-reviews-layout (rect 175,2689->?,930,521 après correction ; mêmes valeurs)",CONFORME,"Colonnes/bordure/radius/fond identiques. Hauteur suit le contenu (formulaire, plus haut que le minimum de la colonne vide)."
FL.038,[SECTION 08] Avis,Conteneur état vide (.reviews-empty),".reviews-empty (rect 176,2570,371,509 ; min-height:360px ; padding:45px ; bg #f4f1fb)",".v2-reviews-empty (rect 176,2690->?,371,519 après correction ; mêmes valeurs)",CONFORME,min-height/padding/fond identiques. Hauteur suit celle de la colonne formulaire (grille alignée sur la ligne la plus haute).
FL.039,[SECTION 08] Avis,"<strong> ""Aucun avis pour le moment.""","strong (rect 221,2752,281,83 ; Georgia 26px/600)","strong (rect 221,2878->?,281,83 après correction ; mêmes valeurs)",CONFORME,"Remesuré identique (police, taille, texte)."
FL.040,[SECTION 08] Avis,"<p> ""Soyez le premier à partager votre expérience.""","p (rect 221,2845,281,51 ; margin-top:10px)","p (rect 221,2971->?,281,51 après correction ; mêmes valeurs)",CONFORME,Remesuré identique.
FL.041,[SECTION 08] Avis,Conteneur formulaire (.review-form),".review-form (rect 547,2570,557,509 ; grid ; gap:14px ; padding:42px)",".review-form (rect 547,2690->?,557,519 après correction ; mêmes valeurs)",CONFORME,"Grille/gap/padding identiques. Fonction réelle vérifiée : soumission écrit dans Supabase (table reviews), modération avant publication (getApprovedReviews ne renvoie que les avis approuvés) — chaîne base->composant->rendu conforme au principe annoncé par le formulaire (""sera publié après modération"")."
FL.042,[SECTION 08] Avis,"<label> ""Votre nom""","label[for=review-name] (rect 589,2612,473,19 ; display:block, Inter 12px/800)","label[htmlFor=review-name] (rect 589,2732->?,473,19 après correction ; mêmes valeurs)",CONFORME,"Remesuré identique (enfant direct du grid form, blockifié pleine largeur des deux côtés)."
FL.043,[SECTION 08] Avis,<input> champ Nom,"input#review-name (rect 589,2645,473,54 ; border 1px ; radius 6px ; hérite 16px)","input#review-name (rect 589,2766,473,54 ; mêmes valeurs, déjà corrigé lors d'un lot précédent)",CONFORME,Déjà corrigé lors d'une passe précédente (fuite CSS pré-V2 sur border/radius/padding/font-size) — remesuré toujours conforme dans ce lot dédié.
FL.044,[SECTION 08] Avis,"<label> ""Votre note""","label (rect 589,2713,473,19 ; enfant DIRECT du grid form, donc blockifié pleine largeur)","label (rect 589,2782,473,19 après correction ; mêmes valeurs)",CORRIGÉ,"ÉCART DE STRUCTURE RÉEL DÉCOUVERT PAR LE BALAYAGE EXHAUSTIF DÉDIÉ : dans la maquette, TOUS les champs (labels/input/star-picker/textarea/bouton/note) sont des enfants DIRECTS et à plat de <form class=""review-form""> (un grid) — un enfant direct d'un conteneur grid est automatiquement ""blockifié"" (display:block quel que soit son display déclaré). La V2 enveloppait ce label + .star-input dans un <div> supplémentaire, absent de la maquette : n'étant plus un enfant direct du grid, le label gardait son display:inline natif (mesuré 62×15px au lieu de 473×19px). Corrigé en retirant le <div> enveloppant, structure désormais à plat comme la maquette. Remesuré : 473×19px, display:block, identique."
FL.045,[SECTION 08] Avis,Groupe des 5 étoiles (structure du contrôle de notation),".star-picker : 5× <input type=radio name=rating>+<label>★</label>, ordre DOM 5→1, direction:rtl (bascule visuelle 1→5 gauche-à-droite), :hover/:checked~label colore en or — sélection native, accessible clavier/lecteur d'écran sans JS",".star-input : 5× <span onClick>★</span>, état contrôlé en React (useState), sans <input> natif sous-jacent",CONTRÔLE MANUEL REQUIS,"MÉCANISME STRUCTUREL RÉELLEMENT DIFFÉRENT, DÉJÀ IDENTIFIÉ LORS D'UN LOT PRÉCÉDENT, RÉEXAMINÉ ICI EN DÉTAIL : la maquette implémente la notation en CSS pur (radios natifs + direction:rtl + sélecteur ~), offrant une notation accessible au clavier et aux lecteurs d'écran sans JavaScript. La V2 utilise des <span> cliquables pilotés par état React (rating/hoverRating), fonctionnellement équivalent au clic/survol mais sans <input> natif (donc sans annonce native ""3 étoiles sur 5"" par un lecteur d'écran, et sans navigation clavier par flèches). RENDU VISUEL VÉRIFIÉ IDENTIQUE au pixel (glyphe 27px, couleur #cfcbd8/rgb(207,203,216) au repos, or au survol/actif, gap 5-6px) — aucun écart de gabarit. Remplacer le mécanisme par des radios natifs est un refactor de comportement du formulaire (au-delà d'une correction de style), non entrepris dans ce lot conformément à la consigne de ne pas modifier la logique réelle sans nécessité de gabarit démontrée. Fonction de notation (soumission, état, validation required) intégralement opérationnelle et non modifiée."
FL.046,[SECTION 08] Avis,"<label> ""Votre avis""","label[for=review-body] (rect 589,2787,473,19)","label[htmlFor=review-body] (rect 589,2918->?,473,19)",CONFORME,Remesuré identique.
FL.047,[SECTION 08] Avis,<textarea> champ Avis — police,"textarea (rect 589,2820,473,122 ; fontFamily=monospace — AUCUNE règle CSS maquette ne cible explicitement <textarea>, le reset global ""button,input{font:inherit}"" omet ce tag : comportement par défaut du navigateur, vraisemblablement une inadvertance de la maquette elle-même)","textarea (rect 589,2951,473,122 ; fontFamily=Inter, cohérent avec le reste du formulaire)",CONFORME (jugement de conception),"ÉCART RÉEL CONSTATÉ MAIS NON REPRODUIT, DÉLIBÉRÉMENT : la maquette rend ce textarea en police monospace du navigateur par défaut, parce que son reset global (""button, input{font:inherit}"", styles.css l.23) omet ""textarea"" dans sa liste de sélecteurs — un oubli manifeste (aucun autre champ du site n'utilise de police à chasse fixe, aucune intention de conception documentée). Reproduire ce bug rendrait la V2 délibérément moins cohérente que l'intention réelle de la maquette (Inter partout ailleurs, y compris sur les autres champs de ce même formulaire). Non corrigé en sens inverse : le textarea V2 reste en Inter, cohérent avec le reste du formulaire des deux côtés de la comparaison. Dimensions (473×122, radius 6px, border 1px, padding 13px 14px) identiques par ailleurs."
FL.048,[SECTION 08] Avis,"<button> ""Envoyer mon avis →""","button[type=submit] (rect 589,2956,473,49 ; Inter 16px/800 ; bg violet-deep ; radius 6px)","button[type=submit] (rect 589,3087->?,473,49 ; mêmes valeurs, déjà corrigé lors d'un lot précédent — police de secours Arial)",CONFORME,Déjà corrigé (police de secours navigateur) lors d'une passe précédente — remesuré toujours conforme.
FL.049,[SECTION 08] Avis,"<p> note ""Votre avis sera publié après modération.""","p.review-note (rect 589,3019,473,18 ; couleur muted, 11px)","p.review-note (rect 589,3150->?,473,18 ; déjà corrigé lors d'un lot précédent — élément manquant ajouté)",CONFORME,Déjà ajouté et corrigé lors d'une passe précédente — remesuré toujours conforme.
FL.050,[SECTION 10] Newsletter,Bloc newsletter — composant partagé Newsletter.tsx,".newsletter (1280×358, bg #242038)","Newsletter.tsx (composant partagé, non modifié)",CONFORME,"COMPOSANT PARTAGÉ, HORS PÉRIMÈTRE — déjà certifié sur d'autres chantiers. Remesuré sans modification : bg/texte/dimensions identiques à la maquette sur cette page (texte spécifique au livre vérifié conforme)."
